X:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FY_GeoContact-GeoSurContact1-complex_contact(N),Y:FZ_GeoContact-GeoSurContact1-complex_contact(N)
0.22021925,-0.0028120993,0.0051633059,-0.018546438
0.22121925,-0.0028717186,0.0052777793,-0.018738190
0.22221925,-0.0025787230,0.0047439647,-0.016638594
0.22321925,-0.0031362127,0.0057756788,-0.019989206
0.22421925,-0.0030149777,0.0055579971,-0.018991719
0.22521925,-0.0029934242,0.0055235370,-0.018643770
0.22621925,-0.0030035019,0.0055473642,-0.018496010
0.22721925,-0.0030221103,0.0055869949,-0.018398874
0.22871925,-0.0030492223,0.0056450271,-0.018245633
0.22971925,-0.0030558599,0.0056624953,-0.018076901
0.23071925,-0.0031191218,0.0057849553,-0.018240433
0.23171925,-0.0023999434,0.0044550592,-0.013875945
0.23271925,-0.0027617892,0.0051311327,-0.015792110
0.23321925,-0.019502234,0.050710520,-0.19767276
0.23421925,-0.0017339890,0.0045627038,-0.017785703
0.23509425,-0.00099611234,0.0027434024,-0.010693953
0.23609425,-0.0017498307,0.0049069612,-0.019127640
0.23709425,-0.00058831415,0.0011191908,-0.0043626753
0.23809425,0.0012686382,0.0035600801,-0.018850780
0.23921925,0.0012545911,0.0036779723,-0.019256180
0.24021925,0.0012090545,0.0036970447,-0.019152867
0.24146925,-0.00014199986,0.0030354171,-0.011295580
0.24221925,-0.00029514512,0.0073703276,-0.027620727
0.24321925,-0.00023568990,0.0049942951,-0.018577066
0.24421925,-0.00027227603,0.0050570412,-0.018679192
0.24521925,-0.00030637006,0.0050916844,-0.018681336
0.24621925,-0.00033975015,0.0051169617,-0.018649704
0.24721925,-0.00037332610,0.0051344497,-0.018586898
0.24821925,-0.00039331568,0.0049581907,-0.017820765
0.24921925,-0.00024259756,0.0051983359,-0.019346652
0.25021925,-0.00047260227,0.0048676984,-0.017157967
0.25121925,-0.00015426208,0.0037599302,-0.018585518
0.25209425,-0.00016566585,0.0040312578,-0.019959446
0.25309425,-0.00016370251,0.0039757155,-0.019722903
0.25409425,-9.1593911e-06,0.00030104794,-0.0011035248
0.25509425,-0.0010101421,0.033210096,-0.12170208
0.25603175,-0.00015727723,0.0051713873,-0.018948784
0.25703175,-0.00017462997,0.0050359566,-0.021039445
0.25815675,-0.00062514194,0.017063717,-0.049356829
0.25915675,-0.0015295017,0.046985507,-0.17151694
0.26015675,0.0000000,0.0000000,0.0000000
0.26115675,-0.0023185485,0.078029370,-0.22409493
0.26215675,0.023001503,0.044388598,-0.16481412
0.26315675,0.0000000,0.0000000,0.0000000
0.26415675,0.0000000,0.0000000,0.0000000
0.26503175,0.0012716066,0.0017402778,-0.0098073511
0.26603175,0.0000000,0.0000000,0.0000000
