X:Pos_TX-Body1-complex_contact(mm),Y:Pos_TX-Body1-complex_contact(mm),Y:Pos_TY-Body1-complex_contact(mm),Y:Pos_TZ-Body1-complex_contact(mm)
0.59843800,53.554770,47.168270,28.571577
0.59943800,53.514107,47.157574,28.576835
0.60018800,53.486233,47.151942,28.585242
0.60106300,53.455837,47.147129,28.596010
0.60206300,53.423065,47.143185,28.606150
0.60306300,53.392623,47.141065,28.614631
0.60406300,53.363957,47.140382,28.620126
0.60531300,53.331526,47.142164,28.626957
0.60631300,53.310675,47.146269,28.634548
0.60706300,53.297593,47.150620,28.639939
0.60806300,53.282945,47.157795,28.645046
0.60906300,53.271744,47.166660,28.648247
0.61006300,53.264003,47.177221,28.649414
0.61106300,53.259799,47.189517,28.648563
0.61206300,53.259113,47.203539,28.645582
0.61306300,53.261942,47.219285,28.640422
0.61406300,53.268326,47.236775,28.633141
0.61556300,53.284724,47.266358,28.618757
0.61656300,53.300191,47.288304,28.606977
0.61706300,53.309276,47.299939,28.600436
0.61800050,53.328876,47.323590,28.590915
0.61900050,53.352053,47.350697,28.581166
0.62000050,53.377131,47.379514,28.571033
0.62100050,53.403099,47.409278,28.557305
0.62200050,53.431993,47.440135,28.544306
0.62300050,53.465782,47.470528,28.538945
0.62403175,53.502827,47.500562,28.536484
0.62503175,53.539830,47.528401,28.536735
0.62615675,53.582363,47.558556,28.536835
0.62703175,53.615662,47.580960,28.539103
0.62809425,53.655910,47.607128,28.542557
0.62921925,53.698273,47.633663,28.546236
0.63021925,53.734317,47.655709,28.552966
0.63121925,53.767642,47.676138,28.562864
0.63246925,53.806553,47.700042,28.574192
0.63346925,53.835392,47.717795,28.582711
0.63446925,53.862176,47.734309,28.590731
0.63546925,53.886896,47.749569,28.598204
0.63646925,53.909546,47.763565,28.605046
0.63746925,53.930101,47.776269,28.611239
0.63821925,53.944514,47.785212,28.614215
